date,Washington,California,Florida,Illinois,Louisiana,China,Italy,Iran,Spain,Germany
22-Jan,1,0,0,0,0,140,0,0,0,0
1/23/2020,0,0,0,0,0,97,0,0,0,0
1/24/2020,0,0,0,1,0,259,0,0,0,0
1/25/2020,0,0,0,0,0,441,0,0,0,0
1/26/2020,0,2,0,0,0,665,0,0,0,0
1/27/2020,0,0,0,0,0,787,0,0,0,0
1/28/2020,0,0,0,0,0,1753,0,0,0,1
29-Jan,0,0,0,0,0,1466,0,0,0,3
1/30/2020,0,0,0,0,0,1740,0,0,0,0
1/31/2020,0,1,0,1,0,1980,3,0,0,1
2/1/2020,0,0,0,0,0,2095,0,0,1,2
2/2/2020,0,0,0,0,0,2590,0,0,0,1
2/3/2020,0,3,0,0,0,2812,0,0,0,1
2/4/2020,0,0,0,0,0,3237,0,0,0,2
5-Feb,0,0,0,0,0,3872,0,0,0,0
2/6/2020,0,0,0,0,0,3727,0,0,0,0
2/7/2020,0,0,0,0,0,3160,0,0,0,1
2/8/2020,0,0,0,0,0,3418,0,0,0,1
2/9/2020,0,0,0,0,0,2607,0,0,0,0
2/10/2020,0,0,0,0,0,2974,0,0,1,0
2/11/2020,0,1,0,0,0,2490,0,0,0,0
12-Feb,0,0,0,0,0,2028,0,0,0,2
2/13/2020,0,1,0,0,0,15141,0,0,0,0
2/14/2020,0,0,0,0,0,4156,0,0,0,0
2/15/2020,0,0,0,0,0,2538,0,0,0,0
2/16/2020,0,0,0,0,0,2007,0,0,0,0
2/17/2020,0,0,0,0,0,2052,0,0,0,0
2/18/2020,0,0,0,0,0,1890,0,0,0,0
19-Feb,0,0,0,0,0,1750,0,0,0,0
2/20/2020,0,0,0,0,0,394,0,2,0,0
2/21/2020,0,2,0,0,0,891,0,3,0,0
2/22/2020,0,0,0,0,0,826,14,13,0,0
2/23/2020,0,0,0,0,0,647,62,10,0,0
2/24/2020,0,0,0,0,0,218,53,15,0,0
2/25/2020,0,0,0,0,0,515,97,18,1,0
26-Feb,0,0,0,0,0,410,93,34,4,2
2/27/2020,0,1,0,0,0,439,78,44,5,4
2/28/2020,0,0,0,0,0,329,250,106,13,26
2/29/2020,6,1,0,0,0,428,238,143,9,10
3/1/2020,4,0,0,1,0,574,240,205,32,54
3/2/2020,7,9,1,1,0,205,561,385,17,18
3/3/2020,9,4,1,0,0,127,146,523,31,28
4-Mar,12,10,0,0,0,119,667,835,37,39
3/5/2020,31,16,1,1,0,117,587,586,49,66
3/6/2020,8,8,0,0,0,170,769,591,61,138
3/7/2020,24,22,4,1,0,101,778,1234,113,284
3/8/2020,20,14,3,1,0,46,1247,1076,56,163
3/9/2020,0,6,3,0,1,45,1492,743,159,55
3/10/2020,145,43,2,5,0,20,1797,595,615,237
11-Mar,99,33,13,13,5,29,977,881,435,157
3/12/2020,76,44,7,7,13,24,2313,958,501,271
3/13/2020,126,61,15,14,17,22,2651,1075,864,802
3/14/2020,4,58,26,18,41,19,2547,1289,1227,693
3/15/2020,71,86,39,29,14,22,90,1365,1522,733
3/16/2020,261,131,40,12,45,25,6230,1209,2000,1043
3/17/2020,110,141,61,56,60,110,4000,1053,1438,1174
18-Mar,62,53,98,1,61,33,3526,1178,1987,1144
3/19/2020,300,201,103,260,135,75,4207,1192,2538,1042
,,,,,,,,,,
,,,,,,,,,,
